you	ˈju
entertainment	ˌɛntɚˈteɪnmənt
gathered	ˈɡæðɚd
uhh	ˈʌ
yells	ˈjɛlz
lincoln	ˈlɪŋkən
crossing	ˈkɹɔsɪŋ
blanket	ˈblæŋkət
nut	ˈnʌt
travis	ˈtɹævɪs
pockets	ˈpɑkəts
limited	ˈlɪmətəd
paintings	ˈpeɪntɪŋz
sober	ˈsoʊbɚ
caesar	ˈsizɚ
sis	ˈsɪs
intended	ˌɪˈntɛndɪd
niece	ˈnis
computers	kəˈmpjutɚz
tennis	ˈtɛnəs
needle	ˈnidəl
chicks	ˈtʃɪks
traditional	tɹəˈdɪʃənəl
delicate	ˈdɛləkət
independent	ˌɪndɪˈpɛndənt
leslie	ˈlɛsli
lauren	ˈlɔɹən
grandson	ˈɡɹæˌndsʌn
repair	ɹɪˈpɛɹ
brandon	ˈbɹændən
executive	ɪˈɡzɛkjətɪv
colin	ˈkoʊlɪn
recognized	ˈɹɛkəˌɡnaɪzd
holmes	ˈhoʊmz
regarding	ɹɪˈɡɑɹdɪŋ
weakness	ˈwiknəs
aliens	ˈeɪliənz
gunshots	ˈɡʌˌnʃɑts
european	ˌjʊɹəˈpiən
method	ˈmɛθəd
tool	ˈtul
demands	dɪˈmændz
permit	pɚˈmɪt
towel	ˈtaʊəl
daisy	ˈdeɪzi
nowadays	ˈnaʊəˌdeɪz
spider	ˈspaɪdɚ
northern	ˈnɔɹðɚn
rangers	ˈɹeɪndʒɚz
zoo	ˈzu
praying	ˈpɹeɪɪŋ
antonio	æˈntoʊˌnioʊ
passengers	ˈpæsəndʒɚz
con	ˈkɑn
australia	ɔˈstɹeɪljə
technique	tɛˈknik
cellphone	ˈsɛlfoʊn
gently	ˈdʒɛntli
operations	ˌɑpɚˈeɪʃənz
planes	ˈpleɪnz
bunny	ˈbʌni
gunfire	ˈɡʌˌnfaɪɚ
shining	ˈʃaɪnɪŋ
backwards	ˈbækwɚdz
skill	ˈskɪl
baron	ˈbæɹən
kidnapping	ˈkɪˌdnæpɪŋ
marshal	ˈmɑɹʃəl
petty	ˈpɛˌti
sealed	ˈsild
massage	məˈsɑʒ
raising	ˈɹeɪzɪŋ
menu	ˈmɛnju
diary	ˈdaɪɚi
fucker	ˈfʌkɚ
wagon	ˈwæɡən
audition	ɑˈdɪʃən
mitch	ˈmɪtʃ
mexican	ˈmɛksəkən
casino	kəˈsinoʊ
bacon	ˈbeɪkən
diego	diˈeɪɡoʊ
dutch	ˈdʌtʃ
promotion	pɹəˈmoʊʃən
click	ˈklɪk
forgiveness	fɚˈɡɪvnəs
burst	ˈbɝst
permanent	ˈpɝmənənt
interfere	ˌɪntɚˈfɪɹ
chanting	ˈtʃæntɪŋ
dammit	ˈdæmɪt
spencer	ˈspɛnsɚ
recovered	ɹəˈkʌvɚd
registered	ˈɹɛdʒɪstɚd
sunny	ˈsʌni
packing	ˈpækɪŋ
scenes	ˈsinz
superman	ˈsupɚmən
questioning	ˈkwɛstʃənɪŋ
unfair	əˈnfɛɹ
admitted	əˈdmɪtɪd
ancestors	ˈæˌnsɛstɚz
polite	pəˈlaɪt
completed	kəˈmplitəd
swallow	ˈswɑloʊ
conduct	ˈkɑndəkt
prayers	ˈpɹɛɹz
sheet	ˈʃit
fried	ˈfɹaɪd
avenue	ˈævəˌnu
poisoned	ˈpɔɪzənd
reverse	ɹɪˈvɝs
newspapers	ˈnuˌzpeɪpɚz
ford	ˈfɔɹd
complaining	kəˈmpleɪnɪŋ
senses	ˈsɛnsɪz
investment	ˌɪˈnvɛstmənt
absurd	əˈbsɝd
potato	pəˈteɪˌtoʊ
understands	ˌʌndɚˈstændz
grows	ˈɡɹoʊz
inspired	ˌɪˈnspaɪɚd
ruby	ˈɹubi
celebrating	ˈsɛləˌbɹeɪtɪŋ
tag	ˈtæɡ
ram	ˈɹæm
requires	ɹiˈkwaɪɚz
bonnie	ˈbɑni
bugs	ˈbʌɡz
leonard	ˈlɛnɚd
elliot	ˈɛliət
hooked	ˈhʊkt
jill	ˈdʒɪl
ranch	ˈɹæntʃ
safer	ˈseɪfɚ
worn	ˈwɔɹn
crashing	ˈkɹæʃɪŋ
lands	ˈlændz
heather	ˈhɛðɚ
ash	ˈæʃ
leather	ˈlɛðɚ
grounds	ˈɡɹaʊndz
assuming	əˈsumɪŋ
nails	ˈneɪlz
dana	ˈdeɪnə
conspiracy	kəˈnspɪɹəsi
thanksgiving	ˌθæˈŋksɡɪvɪŋ
pierre	piˈɛɹ
guardian	ˈɡɑɹdiən
rumors	ˈɹumɚz
yen	ˈjɛn
megan	ˈmeɪɡən
ashes	ˈæʃəz
terror	ˈtɛɹɚ
misunderstanding	ˌmɪsəndɚˈstændɪŋ
tire	ˈtaɪɚ
boats	ˈboʊts
parade	pɚˈeɪd
halt	ˈhɔlt
immunity	ˌɪˈmjunəti
adults	əˈdʌlts
steam	ˈstim
kang	ˈkæŋ
closely	ˈkloʊsli
pearl	ˈpɝl
soccer	ˈsɑkɚ
adrian	ˈeɪdɹiən
priority	pɹaɪˈɔɹəti
shouts	ˈʃaʊts
donald	ˈdɑnəld
happier	ˈhæpiɚ
khan	ˈkɑn
struggling	ˈstɹʌɡəlɪŋ
root	ˈɹut
larger	ˈlɑɹdʒɚ
november	noʊˈvɛmbɚ
boot	ˈbut
conflict	ˈkɑnflɪkt
laughed	ˈlæft
debbie	ˈdɛbi
cherry	ˈtʃɛɹi
honking	ˈhɔŋkɪŋ
concerns	kəˈnsɝnz
celebration	ˌsɛləˈbɹeɪʃən
sore	ˈsɔɹ
unconscious	ˌʌˈnkɑnʃəs
cattle	ˈkætəl
breasts	ˈbɹɛsts
fairly	ˈfɛɹli
fee	ˈfi
recognise	ˈɹɛkəˌɡnaɪz
wade	ˈweɪd
radiation	ˌɹeɪdiˈeɪʃən
holidays	ˈhɑləˌdeɪz
raining	ˈɹeɪnɪŋ
forgetting	fɚˈɡɛtɪŋ
lungs	ˈlʌŋz
register	ˈɹɛdʒɪstɚ
shadows	ˈʃæˌdoʊz
specifically	spəˈsɪfɪkli
sarge	ˈsɑɹdʒ
ideal	aɪˈdil
turtle	ˈtɝtəl
spoil	ˈspɔɪl
deserved	dɪˈzɝvd
ronnie	ˈɹɑni
gina	ˈdʒinə
candidate	ˈkændədeɪt
lance	ˈlæns
types	ˈtaɪps
bloke	ˈbloʊk
explode	ɪˈksploʊd
immediate	ˌɪˈmiˌdiət
belonged	bɪˈlɔŋd
identified	aɪˈdɛntəˌfaɪd
di	ˈdi
hunger	ˈhʌŋɡɚ
closest	ˈkloʊsəst
combination	ˌkɑmbəˈneɪʃən
nanny	ˈnæni
seth	ˈsɛθ
gabriel	ˈɡeɪbɹiəl
develop	dɪˈvɛləp
detectives	dɪˈtɛktɪvz
severe	səˈvɪɹ
en	ˈɛn
organized	ˈɔɹɡəˌnaɪzd
franklin	ˈfɹæŋklɪn
gut	ˈɡʌt
splendid	ˈsplɛndɪd
dismissed	dɪˈsmɪst
pm	ˈpiˈɛm
yang	ˈjæŋ
halloween	ˌhæləˈwin
ellie	ˈɛli
vulnerable	ˈvʌlnɚəbəl
continued	kəˈntɪnjud
vital	ˈvaɪtəl
comrades	ˈkɑˌmɹædz
bureau	ˈbjʊɹoʊ
drawer	ˈdɹɔɹ
harper	ˈhɑɹpɚ
retreat	ɹiˈtɹit
carson	ˈkɑɹsən
benny	ˈbɛni
pillow	ˈpɪloʊ
troy	ˈtɹɔɪ
ace	ˈeɪs
cart	ˈkɑɹt
nap	ˈnæp
chan	ˈtʃæn
ham	ˈhæm
announce	əˈnaʊns
borrowed	ˈbɑˌɹoʊd
parked	ˈpɑɹkt
galaxy	ˈɡæləksi
voted	ˈvoʊtɪd
muffled	ˈmʌfəld
sebastian	səˈbæstʃən
jewelry	ˈdʒuəlɹi
kisses	ˈkɪsəz
luggage	ˈlʌɡədʒ
groom	ˈɡɹum
oops	ˈups
lighter	ˈlaɪtɚ
masters	ˈmæstɚz
alliance	əˈlaɪəns
buddies	ˈbʌdiz
clothing	ˈkloʊðɪŋ
denied	dɪˈnaɪd
drown	ˈdɹaʊn
alike	əˈlaɪk
excellency	ˈɛˈkslɛnsi
relative	ˈɹɛlətɪv
photographs	ˈfoʊtəˌɡɹæfs
burger	ˈbɝɡɚ
dough	ˈdoʊ
alicia	əˈlɪʃə
wreck	ˈɹɛk
approve	əˈpɹuv
produced	pɹəˈdust
christina	kɹɪˈstinə
physically	ˈfɪzɪkəli
stations	ˈsteɪʃənz
eli	ˈilaɪ
samantha	səˈmænθə
spiritual	ˈspɪɹɪˌtʃuəl
sire	ˈsaɪɚ
roaring	ˈɹɔɹɪŋ
stab	ˈstæb
inch	ˈɪntʃ
servants	ˈsɝvənts
limits	ˈlɪməts
unexpected	ˌʌnɪˈkspɛktɪd
arrival	ɚˈaɪvəl
whimpering	ˈwɪmpɚɪŋ
basket	ˈbæskət
sheets	ˈʃits
scandal	ˈskændəl
stink	ˈstɪŋk
homer	ˈhoʊmɚ
tara	ˈtɛɹə
christopher	ˈkɹɪstəfɚ
toes	ˈtoʊz
shield	ˈʃild
shooter	ˈʃutɚ
instant	ˈɪnstənt
objects	ˈɑbdʒɛkts
rehearsal	ɹɪˈhɝsəl
disturbing	dɪˈstɝbɪŋ
directed	dɚˈɛktəd
scan	ˈskæn
electronic	ˌɪˌlɛˈktɹɑnɪk
republic	ɹiˈpʌblək
overnight	ˈoʊvɚˈnaɪt
counsel	ˈkaʊnsəl
sirens	ˈsaɪɹənz
dorothy	ˈdɔɹəθi
bait	ˈbeɪt
dignity	ˈdɪɡnəti
explains	ɪˈkspleɪnz
lean	ˈlin
heroin	ˈhɛɹoʊən
tracy	ˈtɹeɪsi
rex	ˈɹɛks
barney	ˈbɑɹni
gossip	ˈɡɑsəp
humble	ˈhʌmbəl
economy	ɪˈkɑnəmi
worlds	ˈwɝldz
impress	ˌɪˈmpɹɛs
clara	ˈklæɹə
tissue	ˈtɪˌsju
threaten	ˈθɹɛtən
et	ˈɛt
bump	ˈbʌmp
supreme	səˈpɹim
bingo	ˈbɪŋɡoʊ
mitchell	ˈmɪtʃəl
excitement	ɪˈksaɪtmənt
mankind	ˈmæˈnkaɪnd
document	ˈdɑkjəmɛnt
broad	ˈbɹɔd
vietnam	viˌɛˈtnɑm
vessel	ˈvɛsəl
lit	ˈlɪt
dale	ˈdeɪl
killers	ˈkɪlɚz
connor	ˈkɑnɚ
mario	ˈmɑɹioʊ
foul	ˈfaʊl
stare	ˈstɛɹ
deaths	ˈdɛθs
hut	ˈhʌt
elements	ˈɛləmənts
coma	ˈkoʊmə
laying	ˈleɪɪŋ
coffin	ˈkɔfɪn
paula	ˈpɔlə
cocaine	koʊˈkeɪn
puppy	ˈpʌpi
louder	ˈlaʊdɚ
handled	ˈhændəld
announcement	əˈnaʊnsmənt
oath	ˈoʊθ
mob	ˈmɑb
cotton	ˈkɑtən
deposit	dəˈpɑzɪt
taxes	ˈtæksəz
injuries	ˈɪndʒɚiz
jen	ˈdʒɛn
autopsy	ˈɔˌtɑpsi
advise	æˈdvaɪz
gig	ˈɡɪɡ
lecture	ˈlɛktʃɚ
posted	ˈpoʊstɪd
skinny	ˈskɪni
lo	ˈloʊ
include	ˌɪˈnklud
revealed	ɹɪˈvild
infected	ˌɪˈnfɛktɪd
relieved	ɹɪˈlivd
assistance	əˈsɪstəns
solo	ˈsoʊˌloʊ
determine	dəˈtɝmən
terrorists	ˈtɛɹɚəsts
elsewhere	ˈɛˌlswɛɹ
lamp	ˈlæmp
practical	ˈpɹæktəkəl
marked	ˈmɑɹkt
adorable	əˈdɔɹəbəl
rubber	ˈɹʌbɚ
purple	ˈpɝpəl
operating	ˈɑpɚˌeɪtɪŋ
suite	ˈswit
apologies	əˈpɑləˌdʒiz
personnel	ˌpɝsəˈnɛl
beam	ˈbim
poet	ˈpoʊət
samples	ˈsæmpəlz
arrow	ˈæɹoʊ
counselor	ˈkaʊnsəlɚ
carpet	ˈkɑɹpət
allen	ˈælən
audrey	ˈɔdɹi
spotted	ˈspɑtɪd
floating	ˈfloʊtɪŋ
corrected	kɚˈɛktəd
located	ˈloʊˌkeɪtəd
journalist	ˈdʒɝnələst
insisted	ˌɪˈnsɪstəd
operator	ˈɑpɚˌeɪtɚ
rely	ɹɪˈlaɪ
singh	ˈsɪŋ
fooled	ˈfuld
arrives	ɚˈaɪvz
leon	ˈliɑn
walt	ˈwɔlt
eastern	ˈistɚn
ay	ˈeɪ
shave	ˈʃeɪv
remaining	ɹɪˈmeɪnɪŋ
toss	ˈtɔs
anderson	ˈændɚsən
lip	ˈlɪp
acid	ˈæsəd
nora	ˈnɔɹə
si	ˈsi
december	dɪˈsɛmbɚ
anonymous	əˈnɑnəməs
inn	ˈɪn
planted	ˈplæntɪd
oldest	ˈoʊldəst
breast	ˈbɹɛst
sixth	ˈsɪksθ
error	ˈɛɹɚ
reporting	ɹiˈpɔɹtɪŋ
egypt	ˈidʒəpt
islands	ˈaɪləndz
jules	ˈdʒulz
roommate	ˈɹuˌmeɪt
sings	ˈsɪŋz
scum	ˈskʌm
visitor	ˈvɪzɪtɚ
giggling	ˈɡɪɡəlɪŋ
described	dɪˈskɹaɪbd
geez	ˈdʒiz
inches	ˈɪntʃəz
commitment	kəˈmɪtmənt
hercules	ˈhɝkjəˌliz
react	ɹiˈækt
cows	ˈkaʊz
protest	ˈpɹoʊˌtɛst
misery	ˈmɪzɚi
theft	ˈθɛft
embrace	ɛˈmbɹeɪs
darn	ˈdɑɹn
harsh	ˈhɑɹʃ
andrea	ˈæˌndɹiə
communicate	kəˈmjunəˌkeɪt
fathers	ˈfɑðɚz
faithful	ˈfeɪθfəl
hector	ˈhɛktɚ
flame	ˈfleɪm
medal	ˈmɛdəl
silk	ˈsɪlk
photographer	fəˈtɑɡɹəfɚ
trevor	ˈtɹɛvɚ
cemetery	ˈsɛməˌtɛɹi
rear	ˈɹɪɹ
freddy	ˈfɹɛdi
banana	bəˈnænə
allison	ˈæləsən
emotion	ɪˈmoʊʃən
chap	ˈtʃæp
dated	ˈdeɪtɪd
excuses	ɪˈkskjusɪz
shitty	ˈʃɪˌti
bin	ˈbɪn
jew	ˈdʒu
gum	ˈɡʌm
crushed	ˈkɹʌʃt
efforts	ˈɛfɚts
content	ˈkɑntɛnt
corporal	ˈkɔɹpɚəl
realised	ˈɹiəˌlaɪzd
del	ˈdɛl
rap	ˈɹæp
hopeless	ˈhoʊpləs
debate	dəˈbeɪt
era	ˈɛɹə
luckily	ˈlʌkəli
ton	ˈtʌn
liquid	ˈlɪkwəd
swell	ˈswɛl
peggy	ˈpɛɡi
feast	ˈfist
murphy	ˈmɝfi
attracted	əˈtɹæktɪd
application	ˌæpləˈkeɪʃən
profession	pɹəˈfɛʃən
bench	ˈbɛntʃ
vanessa	vəˈnɛsə
symptoms	ˈsɪmptəmz
scout	ˈskaʊt
crashed	ˈkɹæʃt
keen	ˈkin
aircraft	ˈɛˌɹkɹæft
formed	ˈfɔɹmd
hon	ˈhɑn
aggressive	əˈɡɹɛsɪv
pale	ˈpeɪl
significant	səˈɡnɪfɪkənt
duncan	ˈdʌŋkən
clubs	ˈklʌbz
visual	ˈvɪʒəwəl
embassy	ˈɛmbəsi
defence	dɪˈfɛns
cabinet	ˈkæbənət
display	dɪˈspleɪ
fame	ˈfeɪm
gibbs	ˈɡɪbz
drowned	ˈdɹaʊnd
wolves	ˈwʊlvz
filming	ˈfɪlmɪŋ
dunno	dəˈnoʊ
cursed	ˈkɝst
twin	ˈtwɪn
sorrow	ˈsɑɹoʊ
vault	ˈvɔlt
defeated	dɪˈfitəd
watson	ˈwɑtsən
quote	ˈkwoʊt
penalty	ˈpɛnəlti
bargain	ˈbɑɹɡən
pepper	ˈpɛpɚ
speaker	ˈspikɚ
compare	kəˈmpɛɹ
satan	ˈseɪtən
helmet	ˈhɛlmət
scar	ˈskɑɹ
copies	ˈkɑpiz
fuss	ˈfʌs
envelope	ˈɛnvəˌloʊp
perry	ˈpɛɹi
stinks	ˈstɪŋks
african	ˈæfɹəkən
arrangements	ɚˈeɪndʒmənts
wished	ˈwɪʃt
honored	ˈɑnɚd
believing	bɪˈlivɪŋ
discussed	dɪˈskʌst
assigned	əˈsaɪnd
rosa	ˈɹoʊzə
oven	ˈʌvən
jenna	ˈdʒɛnə
attacking	əˈtækɪŋ
tin	ˈtɪn
sonic	ˈsɑnɪk
collar	ˈkɑlɚ
mere	ˈmɪɹ
romeo	ˈɹoʊmiˌoʊ
belief	bɪˈlif
storage	ˈstɔɹədʒ
rusty	ˈɹʌsti
psycho	ˈsaɪkoʊ
climbing	ˈklaɪmɪŋ
melissa	məˈlɪsə
fears	ˈfɪɹz
sum	ˈsʌm
dedicated	ˈdɛdəkeɪtəd
ladder	ˈlædɚ
alternative	ɔˈltɝnətɪv
raid	ˈɹeɪd
dining	ˈdaɪnɪŋ
ms	ˈmɪz
corporate	ˈkɔɹpɚət
folk	ˈfoʊk
jon	ˈdʒɑn
replaced	ˌɹiˈpleɪst
bailey	ˈbeɪli
un	ˈʌn
heels	ˈhilz
duties	ˈdutiz
smarter	ˈsmɑɹtɚ
existed	ɪˈɡzɪstəd
surprising	sɚˈpɹaɪzɪŋ
chess	ˈtʃɛs
requested	ɹɪˈkwɛstɪd
cruise	ˈkɹuz
primary	ˈpɹaɪˌmɛɹi
rhythm	ˈɹɪðəm
drum	ˈdɹʌm
models	ˈmɑdəlz
motorcycle	ˈmoʊtɚˌsaɪkəl
adopted	əˈdɑptɪd
barrel	ˈbæɹəl
cargo	ˈkɑˌɹɡoʊ
planets	ˈplænəts
shove	ˈʃʌv
surprises	sɚˈpɹaɪzɪz
rosie	ˈɹoʊzi
dings	ˈdɪŋz
trailer	ˈtɹeɪlɚ
cannon	ˈkænən
tables	ˈteɪbəlz
arse	ˈɑɹs
ally	ˈælaɪ
lawrence	ˈlɔɹəns
wee	ˈwi
tapes	ˈteɪps
dull	ˈdʌl
sandra	ˈsændɹə
teenage	ˈtiˌneɪdʒ
kent	ˈkɛnt
cooperate	koʊˈɑpɚˌeɪt
risks	ˈɹɪsks
dug	ˈdʌɡ
worthless	ˈwɝθləs
arriving	ɚˈaɪvɪŋ
kindness	ˈkaɪndnəs
ties	ˈtaɪz
items	ˈaɪtəmz
grip	ˈɡɹɪp
relations	ɹiˈleɪʃənz
rumor	ˈɹumɚ
skirt	ˈskɝt
frog	ˈfɹɑɡ
paige	ˈpeɪdʒ
lloyd	ˈlɔɪd
claimed	ˈkleɪmd
perfume	pɚˈfjum
instrumental	ˌɪnstɹəˈmɛntəl
flames	ˈfleɪmz
association	əˌsoʊsiˈeɪʃən
loses	ˈluzəz
january	ˈdʒænjuˌɛɹi
spike	ˈspaɪk
israel	ˈɪzɹiəl
eleven	ɪˈlɛvən
gallery	ˈɡælɚi
ginger	ˈdʒɪndʒɚ
activities	æˈktɪvətiz
iraq	ˌɪˈɹɑk
boarding	ˈbɔɹdɪŋ
fist	ˈfɪst
stuffed	ˈstʌft
improve	ˌɪˈmpɹuv
creation	kɹiˈeɪʃən
connie	ˈkɔni
infection	ˌɪˈnfɛkʃən
strikes	ˈstɹaɪks
wiped	ˈwaɪpt
tension	ˈtɛnʃən
whistles	ˈwɪsəlz
kindly	ˈkaɪndli
certificate	sɚˈtɪfɪkət
curtis	ˈkɝtəs
bold	ˈboʊld
threats	ˈθɹɛts
claudia	ˈklɔdiə
sid	ˈsɪd
twisted	ˈtwɪstɪd
suspended	səˈspɛndɪd
affected	əˈfɛktɪd
envy	ˈɛnvi
whale	ˈweɪl
dial	ˈdaɪəl
cameron	ˈkæmɚən
martial	ˈmɑɹʃəl
controlled	kəˈntɹoʊld
lung	ˈlʌŋ
coal	ˈkoʊl
upside	ˈʌˈpsaɪd
imperial	ˌɪˈmpɪɹiəl
pam	ˈpæm
paranoid	ˈpɛɹəˌnɔɪd
signing	ˈsaɪnɪŋ
congress	ˈkɑŋɡɹəs
villa	ˈvɪlə
candles	ˈkændəlz
filling	ˈfɪlɪŋ
becky	ˈbɛki
comic	ˈkɑmɪk
faint	ˈfeɪnt
recovery	ɹɪˈkʌvɹi
volunteer	ˌvɑləˈntɪɹ
tech	ˈtɛk
bleed	ˈblid
positions	pəˈzɪʃənz
cindy	ˈsɪndi
narrow	ˈnɛɹoʊ
forbid	fɚˈbɪd
stuart	ˈstuɚt
perspective	pɚˈspɛktɪv
faced	ˈfeɪst
neat	ˈnit
pierce	ˈpɪɹs
observe	əˈbzɝv
cycle	ˈsaɪkəl
psychic	ˈsaɪkɪk
handling	ˈhændlɪŋ
goose	ˈɡus
accidentally	ˌæksəˈdɛntəli
conclusion	kəˈnkluʒən
designer	dɪˈzaɪnɚ
sits	ˈsɪts
importance	ˌɪˈmpɔɹtəns
spots	ˈspɑts
francs	ˈfɹæŋks
sweep	ˈswip
destroying	dɪˈstɹɔɪɪŋ
communist	ˈkɑmjənəst
blackmail	ˈblæˌkmeɪl
pacific	pəˈsɪfɪk
risky	ˈɹɪski
glorious	ˈɡlɔɹiəs
filed	ˈfaɪld
hatred	ˈheɪtɹəd
cam	ˈkæm
deals	ˈdilz
pos	ˈpɑs
fooling	ˈfulɪŋ
persons	ˈpɝsənz
scotch	ˈskɑtʃ
executed	ˈɛksəˌkjutɪd
brakes	ˈbɹeɪks
blank	ˈblæŋk
tender	ˈtɛndɚ
kurt	ˈkɝt
turner	ˈtɝnɚ
tub	ˈtʌb
sucker	ˈsʌkɚ
slight	ˈslaɪt
addition	əˈdɪʃən
campus	ˈkæmpəs
ritual	ˈɹɪtʃuəl
prey	ˈpɹeɪ
graduate	ˈɡɹædʒəwət
anyways	ˈɛniˌweɪz
fry	ˈfɹaɪ
genuine	ˈdʒɛnjəwən
ned	ˈnɛd
judging	ˈdʒʌdʒɪŋ
doubts	ˈdaʊts
warden	ˈwɔɹdən
ceiling	ˈsilɪŋ
practicing	ˈpɹæktəsɪŋ
somewhat	ˈsʌˈmwʌt
established	ɪˈstæblɪʃt
attempted	əˈtɛmptɪd
zombie	ˈzɑmbi
generations	ˌdʒɛnɚˈeɪʃənz
gathering	ˈɡæðɚɪŋ
warriors	ˈwɔɹiɚz
mick	ˈmɪk
electrical	ɪˈlɛktɹɪkəl
collins	ˈkɑlɪnz
sobs	ˈsɑbz
couples	ˈkʌpəlz
depend	dɪˈpɛnd
institute	ˈɪnstəˌtut
miranda	mɚˈændə
principle	ˈpɹɪnsəpəl
fixing	ˈfɪksɪŋ
therapist	ˈθɛɹəpəst
compete	kəˈmpit
compliment	ˈkɑmpləmɛnt
worship	ˈwɝʃəp
residence	ˈɹɛzɪdəns
democracy	dɪˈmɑkɹəsi
joel	ˈdʒoʊəl
published	ˈpʌblɪʃt
myth	ˈmɪθ
helpless	ˈhɛlpləs
screwing	ˈskɹuɪŋ
kennedy	ˈkɛnədi
execution	ˌɛksəˈkjuʃən
appetite	ˈæpəˌtaɪt
formal	ˈfɔɹməl
strictly	ˈstɹɪktli
sucked	ˈsʌkt
tanks	ˈtæŋks
chickens	ˈtʃɪkənz
gwen	ˈɡwɛn
technical	ˈtɛknɪkəl
stella	ˈstɛlə
rod	ˈɹɑd
meets	ˈmits
shepherd	ˈʃɛpɚd
brazil	bɹəˈzɪl
brutal	ˈbɹutəl
alison	ˈælɪsən
vain	ˈveɪn
switched	ˈswɪtʃt
chi	ˈkaɪ
deer	ˈdɪɹ
brooklyn	ˈbɹʊklən
dresses	ˈdɹɛsəz
retire	ɹɪˈtaɪɹ
overcome	ˈoʊvɚˌkʌm
inspiration	ˌɪnspɚˈeɪʃən
cunt	ˈkʌnt
benjamin	ˈbɛndʒəmən
nicky	ˈnɪki
thrilled	ˈθɹɪld
tae	ˈteɪ
suggestion	səˈdʒɛstʃən
dummy	ˈdʌmi
sailor	ˈseɪlɚ
destination	ˌdɛstəˈneɪʃən
bass	ˈbæs
picnic	ˈpɪˌknɪk
assholes	ˈæshoʊlz
idol	ˈaɪdəl
trucks	ˈtɹʌks
rank	ˈɹæŋk
denise	dɪˈnis
yu	ˈju
veronica	vɚˈɑnɪkə
blocked	ˈblɑkt
strict	ˈstɹɪkt
formula	ˈfɔɹmjələ
clerk	ˈklɝk
samurai	ˈsæmʊˌɹaɪ
disturbed	dɪˈstɝbd
vera	ˈvɛɹə
cafe	kəˈfeɪ
wandering	ˈwɑndɚɪŋ
consciousness	ˈkɑnʃəsnəs
val	ˈvæl
nikki	ˈnɪki
min	ˈmɪn
bare	ˈbɛɹ
hans	ˈhɑns
caleb	ˈkeɪləb
butcher	ˈbʊtʃɚ
arrangement	ɚˈeɪndʒmənt
chased	ˈtʃeɪst
ministry	ˈmɪnəstɹi
brandy	ˈbɹændi
sweater	ˈswɛtɚ
boobs	ˈbubz
locate	ˈloʊˌkeɪt
apologise	əˈpɑləˌdʒaɪz
nazi	ˈnɑtsi
parole	pɚˈoʊl
examine	ɪˈɡzæmɪn
trains	ˈtɹeɪnz
candle	ˈkændəl
prior	ˈpɹaɪɚ
stream	ˈstɹim
passage	ˈpæsədʒ
reaching	ˈɹitʃɪŋ
organ	ˈɔɹɡən
directions	dɚˈɛkʃənz
asses	ˈæsəz
outer	ˈaʊtɚ
proves	ˈpɹuvz
morris	ˈmɔɹəs
luxury	ˈlʌɡʒɚi
pistol	ˈpɪstəl
v	ˈvi
losers	ˈluzɚz
funds	ˈfʌndz
sunset	ˈsʌˌnsɛt
strings	ˈstɹɪŋz
fortunately	ˈfɔɹtʃənətli
gotcha	ˈɡɑtʃə
tomb	ˈtum
freddie	ˈfɹɛdi
engineering	ˈɛndʒəˈnɪɹɪŋ
element	ˈɛləmənt
balloon	bəˈlun
ty	ˈtaɪ
broadcast	ˈbɹɔˌdkæst
spray	ˈspɹeɪ
ninja	ˈnɪndʒə
eternity	ɪˈtɝnəti
handy	ˈhændi
crawl	ˈkɹɔl
slice	ˈslaɪs
nations	ˈneɪʃənz
behaviour	bɪˈheɪvjɚ
pace	ˈpeɪs
stiff	ˈstɪf
lick	ˈlɪk
concrete	kəˈnkɹit
allah	ˈɑlə
vegetables	ˈvɛdʒtəbəlz
euros	ˈjuˌɹoʊz
sausage	ˈsɔsədʒ
constable	ˈkɑnstəbəl
spinning	ˈspɪnɪŋ
rolls	ˈɹoʊlz
genetic	dʒəˈnɛtɪk
loudly	ˈlaʊdli
marvelous	ˈmɑɹvələs
subway	ˈsʌˌbweɪ
creep	ˈkɹip
scheme	ˈskim
performed	pɚˈfɔɹmd
plug	ˈplʌɡ
rejected	ɹɪˈdʒɛktɪd
brenda	ˈbɹɛndə
respected	ɹɪˈspɛktɪd
backs	ˈbæks
protocol	ˈpɹoʊtəˌkɑl
muscles	ˈmʌsəlz
kidney	ˈkɪdni
finishing	ˈfɪnɪʃɪŋ
products	ˈpɹɑdəkts
im	ˈɪm
wu	ˈwu
invasion	ˌɪˈnveɪʒən
affection	əˈfɛkʃən
woody	ˈwʊdi
endless	ˈɛndləs
discipline	ˈdɪsəplən
horns	ˈhɔɹnz
absence	ˈæbsəns
waking	ˈweɪkɪŋ
dudes	ˈdjudz
philosophy	fəˈlɑsəfi
cracked	ˈkɹækt
nicholas	ˈnɪkələs
reed	ˈɹid
verdict	ˈvɝdɪkt
drake	ˈdɹeɪk
connections	kəˈnɛkʃənz
privilege	ˈpɹɪvlədʒ
anyhow	ˈɛniˌhaʊ
scent	ˈsɛnt
naive	ˌnaɪˈiv
daylight	ˈdeɪˌlaɪt
controls	kəˈntɹoʊlz
airplane	ˈɛˌɹpleɪn
values	ˈvæljuz
jolly	ˈdʒɑli
swore	ˈswɔɹ
blaring	ˈblɛɹɪŋ
consent	kəˈnsɛnt
puzzle	ˈpʌzəl
disagree	dɪsəˈɡɹi
argh	ˈɑɹɡ
